taipei_time,averaged_t2m,averaged_ssrd_w_m2
2021-07-01 00:00:00,295.26495,0.0
2021-07-01 01:00:00,295.00314,0.0
2021-07-01 02:00:00,294.75708,0.0
2021-07-01 03:00:00,294.86584,0.0
2021-07-01 04:00:00,294.64804,0.0
2021-07-01 05:00:00,294.4577,0.0
2021-07-01 06:00:00,294.60367,24.87
2021-07-01 07:00:00,296.4487,157.24667
2021-07-01 08:00:00,298.14163,322.43167
2021-07-01 09:00:00,299.2032,505.02777
2021-07-01 10:00:00,300.0276,678.03
2021-07-01 11:00:00,300.6122,794.4913
2021-07-01 12:00:00,300.6625,767.1782
2021-07-01 13:00:00,300.7122,776.0294
2021-07-01 14:00:00,300.22916,635.4108
2021-07-01 15:00:00,300.53992,686.55084
2021-07-01 16:00:00,300.16058,518.1583
2021-07-01 17:00:00,299.5699,343.25223
2021-07-01 18:00:00,298.74796,158.17111
2021-07-01 19:00:00,297.89444,24.831112
2021-07-01 20:00:00,297.13605,0.0
2021-07-01 21:00:00,296.65106,0.0
2021-07-01 22:00:00,296.2496,0.0
2021-07-01 23:00:00,295.911,0.0
2021-07-02 00:00:00,295.62698,0.0
2021-07-02 01:00:00,295.3124,0.0
2021-07-02 02:00:00,295.03207,0.0
2021-07-02 03:00:00,295.126,0.0
2021-07-02 04:00:00,294.8965,0.0
2021-07-02 05:00:00,294.5885,0.0
2021-07-02 06:00:00,294.6603,24.853333
2021-07-02 07:00:00,296.73056,167.89612
2021-07-02 08:00:00,298.36676,370.9461
2021-07-02 09:00:00,299.29715,565.58777
2021-07-02 10:00:00,300.12076,739.48303
2021-07-02 11:00:00,300.6439,848.3935
2021-07-02 12:00:00,300.91785,897.4596
2021-07-02 13:00:00,300.91962,880.82666
2021-07-02 14:00:00,300.62265,754.71277
2021-07-02 15:00:00,300.2509,632.1278
2021-07-02 16:00:00,299.83386,483.9811
2021-07-02 17:00:00,299.51483,322.15778
2021-07-02 18:00:00,298.88107,154.72722
2021-07-02 19:00:00,297.94638,25.913334
2021-07-02 20:00:00,297.21732,0.0
2021-07-02 21:00:00,296.72546,0.0
2021-07-02 22:00:00,296.3954,0.0
2021-07-02 23:00:00,296.06757,0.0
2021-07-03 00:00:00,295.78763,0.0
2021-07-03 01:00:00,295.3062,0.0
2021-07-03 02:00:00,295.04556,0.0
2021-07-03 03:00:00,295.2034,0.0
2021-07-03 04:00:00,295.04492,0.0
2021-07-03 05:00:00,294.8085,0.0
2021-07-03 06:00:00,295.08942,22.285555
2021-07-03 07:00:00,296.79016,150.06555
2021-07-03 08:00:00,298.24326,345.28555
2021-07-03 09:00:00,299.31183,555.1721
2021-07-03 10:00:00,300.14886,720.5821
2021-07-03 11:00:00,300.5935,841.20404
