,7/1/2019,7/2/2019,7/3/2019,7/4/2019,7/5/2019,7/6/2019,7/7/2019,7/8/2019,7/9/2019,7/10/2019,7/11/2019,7/12/2019,7/13/2019,7/14/2019,7/15/2019,7/16/2019,7/17/2019,7/18/2019,7/19/2019,7/20/2019,7/21/2019,7/22/2019,7/23/2019,7/24/2019,7/25/2019,7/26/2019,7/27/2019,7/28/2019,7/29/2019,7/31/2019
00:00,26606.516667,28830.833333,27449.650000,27036.166667,27632.383333,27665.766667,26503.300000,26374.466667,28399.133333,28389.416667,28377.683333,27948.850000,28572.716667,27749.416667,27382.216667,29716.933333,29945.433333,30383.666667,28746.550000,28279.250000,26892.183333,26049.883333,27203.733333,27794.900000,28621.300000,29270.566667,29150.600000,26863.516667,26257.950000,29467.266667
01:00,25360.150000,27506.833333,26179.066667,25898.716667,26365.883333,26355.033333,25491.466667,25271.916667,27134.316667,27211.516667,27140.783333,26791.700000,27270.716667,26486.583333,26143.850000,28352.500000,28697.183333,29056.600000,27592.116667,27142.050000,25799.233333,24922.400000,26067.066667,26508.016667,27430.150000,28013.866667,27871.483333,25773.900000,25113.933333,28078.000000
02:00,24236.883333,26494.416667,25248.700000,25008.450000,25480.033333,25480.066667,24644.016667,24272.316667,26136.200000,26167.650000,26137.066667,25807.166667,26265.600000,25511.933333,25261.483333,27383.033333,27655.900000,27890.866667,26615.833333,26081.666667,24794.133333,23974.133333,25120.183333,25624.150000,26432.350000,26983.150000,26742.416667,24781.566667,24138.566667,27127.350000
03:00,23641.800000,25600.650000,24492.733333,24373.333333,24716.150000,24740.650000,23886.466667,23683.666667,25366.950000,25392.150000,25350.550000,25079.933333,25431.500000,24611.716667,24527.716667,26559.150000,26861.583333,27125.550000,25931.983333,25301.416667,24135.383333,23313.216667,24440.700000,24920.900000,25648.400000,26225.800000,25896.016667,24036.600000,23544.433333,26334.983333
04:00,23246.100000,25022.450000,24084.033333,24057.166667,24256.700000,24275.383333,23422.283333,23171.483333,24878.483333,24938.616667,24907.300000,24670.200000,24850.933333,23973.916667,24004.466667,26118.533333,26184.166667,26466.450000,25312.100000,24883.783333,23641.550000,22988.916667,24113.766667,24429.183333,25073.450000,25650.383333,25319.500000,23584.116667,23051.933333,25748.200000
05:00,22881.866667,24661.233333,23858.916667,23835.633333,23937.716667,23867.933333,22959.183333,22943.900000,24461.233333,24567.100000,24623.233333,24207.383333,24309.000000,23485.950000,23618.700000,25588.350000,25779.833333,25952.483333,24961.183333,24347.733333,23201.650000,22720.083333,23891.966667,24223.483333,24774.650000,25194.233333,24751.616667,23150.466667,22872.866667,25328.200000
06:00,23366.683000,24989.216833,24222.305667,24205.408667,24400.085333,23773.341000,22936.347167,23261.295039,24806.563833,24897.728000,24966.394667,24720.371333,24325.009333,23385.181833,24081.388500,25761.792167,25911.525667,25977.368333,25231.712833,24285.746833,23196.160000,23244.812167,24344.841333,24572.166167,25051.515000,25409.098333,24540.703333,22999.729000,23442.265667,25414.198000
07:00,25146.077000,26348.808167,25723.485500,25691.718833,25776.486333,24223.749667,23438.585333,24942.309020,26332.139667,26412.012333,26506.974167,26244.681833,24977.117667,23627.160333,25788.534000,27188.713333,27356.705167,27340.956833,26847.282833,24742.206500,23519.504833,24957.027500,25860.365000,26095.571333,26557.855167,26882.936333,25162.095667,23520.455500,25223.271333,27009.999667
08:00,30087.114333,30487.645500,29877.191167,30154.455167,30036.495333,25777.520333,24187.122667,29735.519192,30595.643667,30922.328000,31030.807500,30717.542000,26507.200167,24536.271333,30771.778167,31692.075500,31834.128667,31833.629833,31259.482667,26318.035167,24268.765833,29478.498667,30338.193500,30576.318500,30977.499833,31270.076000,26821.301333,24348.048333,30197.599667,31474.420833
09:00,32516.454833,32768.594500,31951.919167,32487.456000,32027.402167,27118.093833,25144.003167,32183.790973,32511.003667,33228.498667,32958.112167,32951.958500,27798.921500,25627.765167,33184.219167,34085.113500,34293.715333,33796.734333,33460.607833,27601.148000,25285.738167,31775.257167,32537.928333,32679.908667,33322.620667,33461.784500,28033.893167,25542.778500,32720.224500,33782.125333
