,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021
00:00,28842.883333,29593.033333,29862.316667,29035.700000,27975.933333,30204.150000,29961.700000,30220.516667,30624.866667,30962.950000,29569.633333,28449.916667,30413.983333,29363.983333,30261.683333,29528.333333,29415.683333,28567.116667,27896.966667,29933.700000,29475.266667,29160.433333,28888.450000,28191.800000,27172.916667,27817.133333,29742.916667,30993.766667,30302.600000,29709.533333,29018.583333
01:00,27678.166667,28394.050000,28614.116667,27867.550000,26758.350000,28976.866667,28766.533333,29004.683333,29270.883333,29736.433333,28363.333333,27445.566667,29178.466667,28246.166667,29059.783333,28426.516667,28409.400000,27491.466667,26924.983333,28916.900000,28371.450000,28200.566667,27803.350000,27214.200000,26147.816667,26744.450000,28605.450000,29749.616667,29025.383333,28567.450000,27801.200000
02:00,26834.216667,27488.400000,27589.950000,26885.900000,25862.500000,28028.016667,27976.616667,28142.966667,28249.966667,28726.983333,27465.350000,26549.900000,28172.866667,27412.700000,28097.383333,27437.950000,27427.116667,26504.350000,26105.333333,27986.133333,27353.583333,27389.383333,27036.883333,26372.683333,25545.800000,25817.916667,27638.916667,28704.083333,28033.816667,27619.516667,26902.550000
03:00,26097.316667,26809.400000,26891.316667,26114.550000,25043.916667,27343.116667,27241.833333,27369.933333,27495.083333,27896.783333,26647.166667,25800.950000,27417.483333,26749.733333,27303.533333,26806.700000,26639.333333,25828.816667,25380.450000,27253.583333,26628.383333,26646.050000,26433.150000,25724.550000,24824.516667,25199.850000,26968.033333,27872.250000,27352.683333,26810.550000,26235.900000
04:00,25660.916667,26231.833333,26294.116667,25555.816667,24708.800000,26787.633333,26638.416667,26964.283333,26954.983333,27223.416667,26025.116667,25323.133333,26902.983333,26300.000000,26772.216667,26354.383333,26160.016667,25404.333333,25040.466667,26760.166667,26219.416667,26189.750000,25989.300000,25256.416667,24411.300000,24880.833333,26473.783333,27251.466667,26735.883333,26305.250000,25778.116667
05:00,25299.283333,25833.500000,25636.000000,24910.783333,24415.066667,26366.016667,26324.983333,26401.833333,26368.300000,26679.933333,25349.766667,24981.250000,26539.316667,25997.966667,26313.266667,25989.816667,25595.283333,24812.766667,24864.350000,26444.083333,25963.366667,26068.100000,25834.316667,25047.716667,23996.150000,24730.366667,26083.900000,26773.333333,26451.016667,26030.233333,25431.500000
06:00,25424.743667,26044.021167,25451.251833,24803.371333,24831.297500,26543.379833,26492.410000,26671.194667,26499.966833,26398.390167,25073.728667,25165.183500,26732.386167,26092.072333,26497.624833,26123.549000,25499.804000,24604.521667,25150.402833,26707.772500,26172.584500,26281.922667,26022.147833,25038.383667,23807.623667,25099.494667,26334.180667,26944.959833,26776.672167,26353.902333,25375.446667
07:00,26641.626333,27356.999667,26116.437500,24968.847500,26554.923333,27787.439000,27822.050500,28157.915000,27857.436833,26866.319167,25333.143833,27029.366500,28276.598833,27631.049333,27851.834333,27430.690333,26095.460333,24897.848333,27007.590167,28143.786333,27620.390000,27599.616500,27296.586333,25430.559167,24124.468333,26855.103000,27740.723667,28494.548833,28107.443000,27801.446167,25723.622333
08:00,30962.992167,31774.404500,27968.133167,25735.123500,31368.576333,32113.200667,32202.503333,32796.641500,32220.309333,28781.505000,26292.135167,32130.691000,32859.095167,32078.131000,32310.641000,31738.041000,28089.799500,25837.118500,32101.590333,32573.171167,32098.825833,31904.347500,31449.344000,26993.708167,24762.581500,31796.690333,32219.251500,32894.355500,32475.434167,32389.140667,27761.343167
09:00,33154.206167,34012.605167,29163.677833,26720.184667,33843.254667,34331.770667,34512.219000,35326.439167,34714.037333,30137.615167,27258.455667,34707.432167,35080.133000,34610.508333,34551.645500,34089.761000,29559.092500,26871.154833,34906.238833,34922.759833,34524.111000,33758.159333,33567.268833,28080.376167,26034.666667,34297.741333,34838.580833,35611.601833,35060.937000,34889.413833,29397.678000
10:00,34199.806500,34957.625667,30368.969667,27864.223000,34885.149833,35306.585167,35531.220667,36111.149833,35638.920000,31211.367500,28215.152833,35765.795167,35920.035667,35557.775833,35449.244000,35241.523000,30629.944000,27832.375667,36020.446167,35786.903000,35379.192833,34741.461333,34262.060167,28929.891167,27299.736000,35211.578000,36035.981500,36843.927333,36291.443833,35787.659500,30342.674833
11:00,35049.140667,36057.597333,31492.037333,29052.867167,35934.432167,36376.508333,36633.339167,37275.111500,36730.476000,32531.296667,29391.766167,36897.198333,37032.282667,36557.956333,36506.033167,36293.245167,31867.109500,28975.426000,37153.333167,36819.412167,36311.764500,35513.491000,34992.585167,29745.383500,28406.947833,36420.187667,37336.481833,37958.295000,37291.677500,36686.026667,31098.048500
